id,K,A,p,B,PmI,PMI,PdI,PdS,CSm,CSM,CSd
1,0.09,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.2,0.3,0.5
2,0.1,0.05,0.7,0.05,0.4,0.5,0.2,0.2,0.2,0.3,0.5
3,0.075,0.05,0.79,0.07,0.3,0.4,0.2,0.11,0.2,0.3,0.5
4,0.071,0.055,0.75,0.07,0.3,0.4,0.29,0.11,0.2,0.21,0.7
5,0.075,0.05,0.75,0.07,0.3,0.4,0.25,0.11,0.2,0.21,0.7
10,0.54,0.47,0.85,0.48,0.48,0.94,0.09,0.78,0.12,0.34,0.66
11,0.3,0.07,0.7,0.27,0.31,0.78,0.14,0.57,0.08,0.25,0.97
12,0.58,0.34,0.94,0.27,0.36,0.79,0.02,0.73,0.21,0.44,0.66
15,0.46,0.28,0.8,0.11,0.36,0.96,0.05,0.71,0.06,0.08,0.67
16,0.51,0.08,0.86,0.42,0.14,0.82,0.03,0.68,0.56,0.72,0.9
21,0.59,0.05,0.89,0.46,0.59,0.94,0.1,0.75,0.25,0.76,0.85
22,0.46,0.29,0.76,0.43,0.28,0.88,0.16,0.71,0.02,0.15,0.23
30,0.09,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.3,0.3,0.5
31,0.1,0.05,0.7,0.05,0.4,0.5,0.2,0.2,0.3,0.3,0.5
32,0.1,0.01,0.51,0.099,0.3,0.35,0.01,0.339,0.3,0.4,0.5
33,0.12,0.05,0.74,0.08,0.38,0.5,0.2,0.22,0.3,0.3,0.41
34,0.1,0.01,0.51,0.099,0.3,0.35,0.01,0.339,0.3,0.4,0.41
35,0.15,0.135,0.65,0.1,0.75,0.9,0.45,0.38,0.36,0.432,0.504
36,0.55,0.09,0.81,0.35,0.35,0.79,0.04,0.74,0.21,0.31,0.53
37,0.37,0.06,0.62,0.3,0.64,0.97,0.08,0.72,0.34,0.43,0.72
50,0.28,0.21,0.74,0.22,0.28,0.63,0.17,0.43,0.21,0.39,0.76
51,0.23,0.19,0.56,0.22,0.29,0.72,0.06,0.62,0.44,0.47,0.86
52,0.58,0.19,0.93,0.47,0.34,0.93,0.16,0.66,0.01,0.51,0.66